purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
30.25,66,39,25,1996.5,71095,0.8726203773029102,0.0008100843224135603,56.44526530261559
30.0,814,475,84,24414.0,71909,0.8826114172793441,0.009991039976433911,56.44526530261559
29.5,73,37,12,2153.5,71982,0.883507419635953,0.0008960023566089379,56.44526530261559
29.25,244,142,50,7137.0,72226,0.8865022768279062,0.002994857191953162,56.44526530261559
29.0,459,270,47,13311.0,72685,0.892136045070146,0.00563376824223976,56.44526530261559
28.7,36,18,12,1033.2,72721,0.8925779092460079,0.000441864175861942,56.44526530261559
28.5,11,5,2,313.5,72732,0.8927129232997435,0.0001350140537355934,56.44526530261559
28.0,322,195,51,9016.0,73054,0.8966651528727309,0.00395222957298737,56.44526530261559
27.5,14,6,4,385.0,73068,0.8968369889411216,0.00017183606839075522,56.44526530261559
27.25,31,16,16,844.75,73099,0.8972174830925582,0.0003804941514366723,56.44526530261559
27.0,21,14,2,567.0,73120,0.8974752371951444,0.00025775410258613285,56.44526530261559
26.5,89,51,9,2358.5,73209,0.8985676236299142,0.001092386434769801,56.44526530261559
26.25,16,8,8,420.0,73225,0.8987640077080751,0.0001963840781608631,56.44526530261559
26.0,4,2,2,104.0,73229,0.8988131037276152,4.909601954021578e-05,56.44526530261559
25.6,9,6,6,230.4,73238,0.8989235697715807,0.0001104660439654855,56.44526530261559
25.5,59,32,18,1504.5,73297,0.899647736059799,0.0007241662882181828,56.44526530261559
25.25,56,41,10,1414.0,73353,0.900335080333362,0.0006873442735630209,56.44526530261559
25.0,420,238,59,10508.5,73773,0.9054901623850846,0.005155082051722657,56.44526530261559
24.5,1,1,1,24.5,73774,0.9055024363899696,1.2274004885053945e-05,56.44526530261559
24.25,265,108,15,6426.25,74039,0.908755047684509,0.003252611294539295,56.44526530261559
24.0,1509,908,95,36216.0,75548,0.9272765210560554,0.0185214733715464,56.44526530261559
23.5,250,151,51,5875.0,75798,0.9303450222773189,0.0030685012212634862,56.44526530261559
23.25,189,103,19,4394.25,75987,0.932664809200594,0.0023197869232751953,56.44526530261559
23.0,1371,783,94,31533.0,77358,0.9494924698980031,0.016827660697408958,56.44526530261559
22.5,291,181,51,6547.5,77649,0.9530642053195537,0.003571735421550698,56.44526530261559
22.4,3,2,2,67.19999999999999,77652,0.9531010273342089,3.682201465516183e-05,56.44526530261559
22.0,310,169,74,6820.0,77962,0.9569059688485756,0.003804941514366723,56.44526530261559
21.5,68,42,38,1462.0,78030,0.9577406011807593,0.0008346323321836682,56.44526530261559
21.0,318,194,83,6678.0,78348,0.9616437347342064,0.0039031335534471545,56.44526530261559
20.5,51,24,10,1045.5,78399,0.9622697089833442,0.0006259742491377512,56.44526530261559
20.0,640,395,74,12800.0,79039,0.9701250721097787,0.007855363126434525,56.44526530261559
19.0,33,20,2,627.0,79072,0.9705301142709855,0.00040504216120678017,56.44526530261559
18.75,124,64,8,2325.0,79196,0.9720520908767322,0.001521976605746689,56.44526530261559
18.0,372,181,54,6696.0,79568,0.9766180206939722,0.004565929817240067,56.44526530261559
17.0,270,159,49,4590.0,79838,0.9799320020129368,0.003313981318964565,56.44526530261559
16.75,18,9,9,301.5,79856,0.9801529341008678,0.000220932087930971,56.44526530261559
16.5,136,84,43,2248.0,79992,0.9818221987652351,0.0016692646643673365,56.44526530261559
